codigo,descripcion,tarifa1
73000160627,ACOPLAM.TE APER.INT.CS-59_CSA,0
73000160626,HOJA APER.INT.98mm.CS-59_CSA,0
73000160625,MARCO PUERTA 73mm.CS-59_CSA,0
73000160614,HOJA APER.EXT.98mm.CS-59_CSA,0
73000160125,MARCO BALCONERA 71mm.CS-59_CSA,0
73000160114,TE TRANSVERSAL 96mm.CS-59_CSA,0
73000051034,REMATE BAJO PTA.CS-59_CSA,0
73000011649,ACOPLAMIENTO BAJO PTA.CS-59_CSA,0
730,ABISAGRADO CS-59,0
72000809567,JUNTA VERANDA,0
72000809440,JUNTA TOPE,0
72000809423,JUNTA MARCO LATERAL TLS-110++,0
72000809003,JUNTA ESTANQ.HOJA TLS-110,0
72000809002,JUNTA ESTANQ.HOJA TLS-110,0
72000779764,MATRIZ TLS-110,0
72000696747,VALVULA ESCAPE AGUA,0
72000696565,ESCUADRA SOPORTE 17x9,1 TLS-110,0
72000686014,ESCUADRA RAPIDA ATORN.TLS-110,0
72000629501,TAPETA MARCO TLS-110,0
72000629500,CIERRE INFERIOR TLS-110,0
72000628026,CIERRE SUPERIOR TLS-110,0
72000627891,AJUSTADOR HOJA CARRIL,0
72000627884,JGO.TOPE GUIA TLS-110,0
72000627850,KIT BASE ELEVABLE TLS-110,0
72000608721,ESCUADRA ALINEAMIENTO TLS-110,0
720,ACC.CORREDERA TLS-110,0
71017061630,CRUCE TLS-110_LMV,0
71017061603,MARCO SUPERIOR TLS-110_LMV,0
71017061602,MARCO LATERAL TLS-110_LMV,0
71017061601,MARCO INFERIOR TLS-110_LMV,0
71016061630,CRUCE TLS-110_LMN,0
71016061603,MARCO SUPERIOR TLS-110_LMN,0
71016061602,MARCO LATERAL TLS-110_LMN,0
71016061601,MARCO INFERIOR TLS-110_LMN,0
71015061630,CRUCE TLS-110_LMC,0
71015061603,MARCO SUPERIOR TLS-110_LMC,0
71015061602,MARCO LATERAL TLS-110_LMC,0
71015061601,MARCO INFERIOR TLS-110_LMC,0
71012061630,CRUCE TLS-110_LC4,0
71012061603,MARCO SUPERIOR TLS-110_LC4,0
71012061602,MARCO LATERAL TLS-110_LC4,0
71012061601,MARCO INFERIOR TLS-110_LC4,0
71010303099,TAPA REFUERZO SOBREP.TRANSV_LC2,0
71010061630,CRUCE TLS-110_LC2,0
71010061603,MARCO SUPERIOR TLS-110_LC2,0
71010061602,MARCO LATERAL TLS-110_LC2,0
71010061601,MARCO INFERIOR TLS-110_LC2,0
71009303099,TAPA REFUERZO SOBREP.TRANSV_AOC,0
71009061630,CRUCE TLS-110_AOC,0
71009061603,MARCO SUPERIOR TLS-110_AOC,0
71009061602,MARCO LATERAL TLS-110_AOC,0
71009061601,MARCO INFERIOR TLS-110_AOC,0
71009051436,MARCO 51mm_AOC,0
71008303099,TAPA REFUERZO SOBREP.TRANSV_INOX,0
71008061630,CRUCE TLS-110_INOX,0
71008061603,MARCO SUPERIOR TLS-110_INOX,0
71008061602,MARCO LATERAL TLS-110_INOX,0
71008061601,MARCO INFERIOR TLS-110_INOX,0
71008061600,GUIA INFERIOR SIMPLE TLS-110_INOX,0
71006061630,CRUCE TLS-110_LC1,0
71006061603,MARCO SUPERIOR TLS-110_LC1,0
71006061602,MARCO LATERAL TLS-110_LC1,0
71006061601,MARCO INFERIOR TLS-110_LC1,0
71005303099,TAPA REFUERZO SOBREP.TRANSV_LBN,0
71005061703,MARCO SUPERIOR 3 CARRILES TLS-110_LBN,0
71005061702,MARCO LATERAL 3 CARRILES TLS-110_LBN,0
71005061700,MARCO INFERIOR 3 CARRILES TLS-110_LBN,0
71005061630,CRUCE TLS-110_LBN,0
71005061603,MARCO SUPERIOR TLS-110_LBN,0
71005061602,MARCO LATERAL TLS-110_LBN,0
71005061601,MARCO INFERIOR TLS-110_LBN,0
71005061600,GUIA INFERIOR SIMPLE TLS-110_LBN,0
71004061630,CRUCE TLS-110_BEB,0
71004061603,MARCO SUPERIOR TLS-110_BEB,0
71004061602,MARCO LATERAL TLS-110_BEB,0
71004061601,MARCO INFERIOR TLS-110_BEB,0
71003061630,CRUCE TLS-110_OEB,0
71003061603,MARCO SUPERIOR TLS-110_OEB,0
71003061602,MARCO LATERAL TLS-110_OEB,0
71003061601,MARCO INFERIOR TLS-110_OEB,0
71002061630,CRUCE TLS-110_PEB,0
71002061603,MARCO SUPERIOR TLS-110_PEB,0
71002061602,MARCO LATERAL TLS-110_PEB,0
71002061601,MARCO INFERIOR TLS-110_PEB,0
71001061630,CRUCE TLS-110_PMD,0
71001061603,MARCO SUPERIOR TLS-110_PMD,0
71001061602,MARCO LATERAL TLS-110_PMD,0
71001061601,MARCO INFERIOR TLS-110_PMD,0
71000303099,TAPA REFUERZO SOBREP.TRANSV_CSA,0
71000301098,REFUERZO INTERIOR 5mm_CSA,0
71000114631,GUIA INFERIOR INOX.CORREDERAS,0
71000061742,GUIA PVC,0
71000061703,MARCO SUPERIOR 3 CARRILES TLS-110_CSA,0
71000061702,MARCO LATERAL 3 CARRILES TLS-110_CSA,0
71000061700,MARCO INFERIOR 3 CARRILES TLS-110_CSA,0
71000061695,AISLAMIENTO PVC MARCO TLS-110,0
71000061630,CRUCE TLS-110_CSA,0
71000061603,MARCO SUPERIOR TLS-110_CSA,0
71000061602,MARCO LATERAL TLS-110_CSA,0
71000061601,MARCO INFERIOR TLS-110_CSA,0
71000061600,GUIA INFERIOR SIMPLE TLS-110_CSA,0
71000051436,MARCO 51mm_CSA,0
710,CORREDERA TLS-110,0
700009398604,GOMA BATIENTE INTERIOR NEGRA,0
700009398601,GOMA CENTRAL JUNTA ABIERTA NEGRA,0
700008768001,ESCUADRA FUNDIDA MEZQUITA,0
700008600720,ANGULO 90� GOMA CENTRAL,0
700008600709,ESCUADRA ALINEACION POLIAMIDA MEZQUITA,0
700008600700,ESCUADRA ALINEACION MEZQUITA INOX,0
700008600120,JGO.TAPONES MEZQUITA,0
700,ACC.SERIE MEZQUITA P/CURVAR,0
69014508543,PILASTRA P/CURVAR MEZQUITA_LMP,0
69014508532,HOJA P/CURVAR MEZQUITA_LMP,0
69014508521,MARCO P/CURVAR MEZQUITA_LMP,0
69014108001,PERFIL INVERSOR MEZQUITA_LMP,0
69005508832,HOJA REFORZADA P/CURVAR MEZQUITA_LBN,0
69005508543,PILASTRA P/CURVAR MEZQUITA_LBN,0
69005508532,HOJA P/CURVAR MEZQUITA_LBN,0
69005508521,MARCO P/CURVAR MEZQUITA_LBN,0
69005108001,PERFIL INVERSOR MEZQUITA_LBN,0
69004508832,HOJA REFORZADA P/CURVAR MEZQUITA_BEB,0
69004508521,MARCO P/CURVAR MEZQUITA_BEB,0
69000508832,HOJA REFORZADA P/CURVAR MEZQUITA_CSA,0
69000508543,PILASTRA P/CURVAR MEZQUITA_CSA,0
69000508532,HOJA P/CURVAR MEZQUITA_CSA,0
69000508521,MARCO P/CURVAR MEZQUITA_CSA,0
69000108001,PERFIL INVERSOR MEZQUITA_CSA,0
690,SERIE MEZQUITA P/CURVAR,0
6800099,MATRIZ MANUAL 4 FUNCIONES EU-55,0
68000568,ESCUADRA ALINEACION P/4800-4802,0
68000566,UNION TRAVESA�O EU-55,0
68000565,ESCUADRA ALINEACION P/4810-4812,0
68000564,JUNTA ACRISTALAMIENTO,0
68000563,JUNTA DOBLE FUNCION,0
68000562,ESCUADRA REFUERZO,0
68000560,ESCUADRA HOJA,0
68000559,ESCUADRA MARCO,0
68000558,UNION,0
68000261,JUNTA P/PERFILES,0
680,ACC.SERIE EU-55 HOJA OCULTA,0
670104814,JUNQUILLO EU-55_LC2,0
670104813,UNION MARCOS EU-55_LC2,0
670104812,TRAVESA�O EU-55_LC2,0
670104811,HOJA C/JUNQ.INCORPORADO EU-55_LC2,0
670104810,MARCO EU-55_LC2,0
670094814,JUNQUILLO EU-55_AOC,0
670094811,HOJA C/JUNQ.INCORPORADO EU-55_AOC,0
670094810,MARCO EU-55_AOC,0
670084814,JUNQUILLO EU-55_INOX,0
670084813,UNION MARCOS EU-55_INOX,0
670084812,TRAVESA�O EU-55_INOX,0
670084811,HOJA C/JUNQ.INCORPORADO EU-55_INOX,0
670084810,MARCO EU-55_INOX,0
670074814,JUNQUILLO EU-55_LMD,0
670074813,UNION MARCOS EU-55_LMD,0
670074812,TRAVESA�O EU-55_LMD,0
670074811,HOJA C/JUNQ.INCORPORADO EU-55_LMD,0
670074810,MARCO EU-55_LMD,0
670064814,JUNQUILLO EU-55_LC1,0
670064813,UNION MARCOS EU-55_LC1,0
670064812,TRAVESA�O EU-55_LC1,0
670064811,HOJA C/JUNQ.INCORPORADO EU-55_LC1,0
670064810,MARCO EU-55_LC1,0
670054814,JUNQUILLO EU-55_LBN,0
670054813,UNION MARCOS EU-55_LBN,0
670054812,TRAVESA�O EU-55_LBN,0
670054811,HOJA C/JUNQ.INCORPORADO EU-55_LBN,0
670054810,MARCO EU-55_LBN,0
670044814,JUNQUILLO EU-55_BEB,0
670044813,UNION MARCOS EU-55_BEB,0
670044812,TRAVESA�O EU-55_BEB,0
670044811,HOJA C/JUNQ.INCORPORADO EU-55_BEB,0
670044810,MARCO EU-55_BEB,0
670024814,JUNQUILLO EU-55_PEB,0
670024813,UNION MARCOS EU-55_PEB,0
670024812,TRAVESA�O EU-55_PEB,0
670024811,HOJA C/JUNQ.INCORPORADO EU-55_PEB,0
670024810,MARCO EU-55_PEB,0
670014814,JUNQUILLO EU-55_PMD,0
670014812,TRAVESA�O EU-55_PMD,0
670014811,HOJA C/JUNQ.INCORPORADO EU-55_PMD,0
670014810,MARCO EU-55_PMD,0
670004814,JUNQUILLO EU-55_CSA,0
670004813,UNION MARCOS EU-55_CSA,0
670004812,TRAVESA�O EU-55_CSA,0
670004811,HOJA C/JUNQ.INCORPORADO EU-55_CSA,0
670004810,MARCO EU-55_CSA,0
670,SERIE EU-55 HOJA OCULTA,0
66000PA15V,ANGULO VULCANIZADO INGLETE ET,0
66000PA15D,JUNTA CENTRAL MARCO EPDM-ET,0
66000KA2,COMPAS SPEED 150,0
66000KA1,COMPAS SPEED 220,0
660008545,GRAPAS P/APER.EXTERIOR ET,0
660005070,MATRIZ MANUAL PT-50/70 COMPLET,0
660001926,ESCUADRA ALINEACION P/3803,0
6600005,GRAPA JUNQ.CURVO PT-50 ET,0
660000443,ESCUADRA 24x14,0,63
6600004,ESCUADRA PUERTA PT-50 ET,0
6600003,ESCUADRA VTNA TETON DESPLAZADO PT-50 ET,0
6600002,JGO.TAPAS INVERSOR ET,0
6600001,ESCUADRA ALINEACION PT-50 ET,0
660,ACC.ABISAGRADO ELIPTICO ROTURA ET,0
650174376,FORRAMARCO 36mm.DISE�O_LMV++,0
650173842,HOJA PTA.APER.EXT.ROTURA_LMV++,0
